user,tweet,work
user1,"RT @WiZinkCenter: 🔴¡@pabloalboran visitará el #WiZinkCenter el próximo 22 de noviembre con su Tour La Cuarta Hoja!

Un concierto MUY ESPECI…",singer
user1,"RT @navarrarena: 👏 ¡Mañana es el día! 

💿 Para que la espera sea más amena, os dejamos el último álbum de @pabloalboran 'La cuarta hoja': h…",singer
user1,"RT @NovAlboranChile: 😱Quedan 4️⃣ días para votar por 
@pabloalboran y su doble nominación en #PremiosJuventud

✅️Categoría Musical:
🔸️Mejor…",singer
user1,"RT @AlboranTeam: #Info Hoy se cumple un mes del inicio del #TourLaCuartaHoja, una nueva aventura que llevará a @pabloalboran a las principa…",singer
user1,RT @PabloAlboranTR: 🔊| @pabloalboran se une al cartel del Real Club Náutico de Castellón de la Plana dentro del SOM Festival Castelló 🇪🇸 co…,singer
user1,"Próximas paradas: 

•24/06 PAMPLONA 
•29/06 TORRELAVEGA 
•01/07 TARRAGONA 
•15/07 VILA NOVA DE GAIA – OPORTO 
•20/0… https://t.co/GThiWvNOey",singer
user1,"RT @Garazi1126: Por fin, después de 2 semanas sin vernos nos volvemos a ver el sábado en Pamplona. Tengo muchas ganas de ti @pabloalboran ❤️",singer
user1,RT @AlboranTeam: #Noticia Valencia enloquece con @pabloalboran. El malagueño repasó en la Plaza de Toros sus temas más conocidos y presentó…,singer
user1,RT @Lucisc98: Gracias por una noche mágica @pabloalboran esta noche Valencia se ha deleitado con tu arte 🩵 eres muy grande 👏❤️ https://t.co…,singer
user1,RT @Cintiia11: Vengo a deleitaros con esta maravilla @pabloalboran y La vie en rose dedicada a su madre en #TourLaCuartaHojaValencia ❤️ mar…,singer
user1,RT @Lolialmagrogma1: Gracias por esa entrega @pabloalboran está noche ha sido inolvidable. Eres tan profesional y tan cercano. T' estimo mo…,singer
user1,RT @ayyuxx__: poco se habla de lo maravilloso que ha sido Pablito cantando en valenciano  @pabloalboran ❤️‍🩹❤️‍🩹❤️‍🩹 https://t.co/3gmUMYs7YV,singer
user1,"RT @celiaftagoney: Solo puedo decirte GRACIAS como siempre por una noche increíble a tu lado, todas esas horas de cola han merecido la pena…",singer
user1,"RT @amparo_np: me parece una bestialidad todo el currazo que hay en esta gira, vaya pedazo de concierto @pabloalboran! enhorabuena a ti y a…",singer
user1,RT @DUEROMEDIATV: #Directo Comienza el concierto de @pabloalboran en #Valencia. Todo vendido y el público entregado. #TourLaCuartaHoja http…,singer
user1,RT @DUEROMEDIATV: #Directo Terminan 2 horas de concierto con @pabloalboran entregado a #Valencia . Ha sido el primer lleno de muchos que es…,singer
user1,RT @ayyuxx__: una vez más has hecho vibrar a toda una plaza llena de sonrisas y lágrimas. Haces magia con tu música y Valencia siempre te l…,singer
user1,RT @justmiriamr: primera vez que voy a un concierto de @pabloalboran y bUA QUÉ FLIPADA sinceramente a esta persona hay que verla al menos u…,singer
user1,"RT @nazaretb92: Por cierto, no me puedes poner a llorar con Prometo y después a bailar con 4u, muy géminis por tu parte 🤣🤣🤣🥲🥲🥲🙃 jajajaja @p…",singer
user1,RT @AlboranVlc_: ir en el metro y que solo se vaya hablando de tu concierto y de lo grande que eres es tan 🫶🏻 eres valencia colega @pabloal…,singer
user1,"RT @PabloAlboran_PT: Só falta 1 mês! 🤩 Um mês para voltarmos a ver o @pabloalboran em Portugal, no Festival @meomaresvivas 🥳 Vamos poder ma…",singer
user1,No pierdas ni un segundo de tu vida. VAMOS!!! HAZ LO QUE SIENTAS QUE DEBES HACER. Persigue tus sueños y si no se cu… https://t.co/Ccs9UbhY33,singer
user1,"RT @navarrarena: ¡No te pierdas el concierto de @pabloalboran! 

📅 24 de junio. 
🕤 21:30h
🎫 https://t.co/trxKeHAQGO 

@GetInMusic #TourLaCu…",singer
user1,"RT @yrodrgom: Fíjate si hay ganas de Valencia, que ha ido la radio a entrevistar a las compis q están en la cola desde ayer!!!! Dales mimit…",singer
user1,"RT @PremiosJuventud: Conozcan a los nominados en la categoría ‘Mejor Álbum Pop’ de #PremiosJuventud ✨
Clichés - @jesseyjoy
De Adentro Pa Af…",singer
user1,RT @AlboranTeam: #Info El tema #Amigos de @pabloalboran junto a @MariaBecerra22 se certifica como disco de platino en 🇪🇸 por sus ventas y s…,singer
user1,RT @AlboranTeam: #Vídeo Así se vivió el pasado sábado el concierto de @pabloalboran con su #TourLaCuartaHoja en el Escénico de Illescas (To…,singer
user1,"RT @PabloAlboranTR: 🎥| @pabloalboran, en sevilen şarkılarından biri olan ""Ave de Paso"" ile Toledo'daki dinleyicilerine unutulmaz anlar yaşa…",singer
user1,RT @AlboranistasCDF: Todo un sueño poder volver vivir un concierto de @pabloalboran y en Illescas fue una pasada!! Gracias por cada gesto y…,singer
user1,"RT @silvialehop: @pabloalboran que mi padre te quiere decir algo 🤣🤣🤣🤣🤣 que conste que mi marido estaba al lado eh ,pero te quieren mucho ht…",singer
user1,"RT @navarrarena: ⏳ ¡Cuenta atrás para el concierto de @pabloalboran!

📹 ¿Recordamos su última visita a Navarra Arena? https://t.co/kwhMHtya…",singer
user1,"TE ESPERO EN.... 

•17/06 VALENCIA 
•24/06 PAMPLONA 
•29/06 TORRELAVEGA 
•01/07 TARRAGONA 
•15/07 VILA NOVA DE GAIA… https://t.co/bxCxgGMAI0",singer
